RegisterName,Register,MCU
GPIOR0,Register,AT90CAN32
SPMCSR,Register,AT90CAN32
EICRA,Register,AT90CAN32
EICRB,Register,AT90CAN32
EIMSK,Register,AT90CAN32
EIFR,Register,AT90CAN32
EEAR,Register,AT90CAN32
EEDR,Register,AT90CAN32
EECR,Register,AT90CAN32
TCCR0A,Register,AT90CAN32
TCNT0,Register,AT90CAN32
OCR0A,Register,AT90CAN32
TIMSK0,Register,AT90CAN32
TIFR0,Register,AT90CAN32
GTCCR,Register,AT90CAN32
TCCR1A,Register,AT90CAN32
TCCR1B,Register,AT90CAN32
TCCR1C,Register,AT90CAN32
TCNT1,Register,AT90CAN32
OCR1A,Register,AT90CAN32
OCR1B,Register,AT90CAN32
OCR1C,Register,AT90CAN32
ICR1,Register,AT90CAN32
TIMSK1,Register,AT90CAN32
TIFR1,Register,AT90CAN32
TCCR3A,Register,AT90CAN32
TCCR3B,Register,AT90CAN32
TCCR3C,Register,AT90CAN32
TCNT3,Register,AT90CAN32
OCR3A,Register,AT90CAN32
OCR3B,Register,AT90CAN32
OCR3C,Register,AT90CAN32
ICR3,Register,AT90CAN32
TIMSK3,Register,AT90CAN32
TIFR3,Register,AT90CAN32
TCCR2A,Register,AT90CAN32
TCNT2,Register,AT90CAN32
OCR2A,Register,AT90CAN32
TIMSK2,Register,AT90CAN32
TIFR2,Register,AT90CAN32
GTCCR,Register,AT90CAN32
ASSR,Register,AT90CAN32
WDTCR,Register,AT90CAN32
ADMUX,Register,AT90CAN32
ADCSRA,Register,AT90CAN32
ADC,Register,AT90CAN32
ADCSRB,Register,AT90CAN32
DIDR0,Register,AT90CAN32
ADCSRB,Register,AT90CAN32
ACSR,Register,AT90CAN32
CANGCON,Register,AT90CAN32
CANGSTA,Register,AT90CAN32
CANGIT,Register,AT90CAN32
CANGIE,Register,AT90CAN32
CANEN2,Register,AT90CAN32
CANEN1,Register,AT90CAN32
CANIE2,Register,AT90CAN32
CANIE1,Register,AT90CAN32
CANSIT2,Register,AT90CAN32
CANSIT1,Register,AT90CAN32
CANBT1,Register,AT90CAN32
CANBT2,Register,AT90CAN32
CANBT3,Register,AT90CAN32
CANTCON,Register,AT90CAN32
CANTIM,Register,AT90CAN32
CANTTC,Register,AT90CAN32
CANTEC,Register,AT90CAN32
CANREC,Register,AT90CAN32
CANHPMOB,Register,AT90CAN32
CANPAGE,Register,AT90CAN32
CANSTMOB,Register,AT90CAN32
CANCDMOB,Register,AT90CAN32
CANIDT4,Register,AT90CAN32
CANIDT3,Register,AT90CAN32
CANIDT2,Register,AT90CAN32
CANIDT1,Register,AT90CAN32
CANIDM4,Register,AT90CAN32
CANIDM3,Register,AT90CAN32
CANIDM2,Register,AT90CAN32
CANIDM1,Register,AT90CAN32
CANSTM,Register,AT90CAN32
CANMSG,Register,AT90CAN32
PORTA,Register,AT90CAN64
DDRA,Register,AT90CAN64
PINA,Register,AT90CAN64
PORTB,Register,AT90CAN64
DDRB,Register,AT90CAN64
PINB,Register,AT90CAN64
PORTC,Register,AT90CAN64
DDRC,Register,AT90CAN64
PINC,Register,AT90CAN64
PORTD,Register,AT90CAN64
DDRD,Register,AT90CAN64
PIND,Register,AT90CAN64
PORTE,Register,AT90CAN64
DDRE,Register,AT90CAN64
PINE,Register,AT90CAN64
PORTF,Register,AT90CAN64
DDRF,Register,AT90CAN64
PINF,Register,AT90CAN64
PORTG,Register,AT90CAN64
DDRG,Register,AT90CAN64
PING,Register,AT90CAN64
OCDR,Register,AT90CAN64
MCUCR,Register,AT90CAN64
MCUSR,Register,AT90CAN64
SPCR,Register,AT90CAN64
SPSR,Register,AT90CAN64
SPDR,Register,AT90CAN64
TWBR,Register,AT90CAN64
TWCR,Register,AT90CAN64
TWSR,Register,AT90CAN64
TWDR,Register,AT90CAN64
TWAR,Register,AT90CAN64
UDR0,Register,AT90CAN64
UCSR0A,Register,AT90CAN64
UCSR0B,Register,AT90CAN64
UCSR0C,Register,AT90CAN64
UBRR0,Register,AT90CAN64
UDR1,Register,AT90CAN64
UCSR1A,Register,AT90CAN64
UCSR1B,Register,AT90CAN64
UCSR1C,Register,AT90CAN64
UBRR1,Register,AT90CAN64
SREG,Register,AT90CAN64
SP,Register,AT90CAN64
MCUCR,Register,AT90CAN64
MCUSR,Register,AT90CAN64
XMCRA,Register,AT90CAN64
XMCRB,Register,AT90CAN64
OSCCAL,Register,AT90CAN64
CLKPR,Register,AT90CAN64
SMCR,Register,AT90CAN64
RAMPZ,Register,AT90CAN64
GPIOR2,Register,AT90CAN64
GPIOR1,Register,AT90CAN64
GPIOR0,Register,AT90CAN64
SPMCSR,Register,AT90CAN64
EICRA,Register,AT90CAN64
EICRB,Register,AT90CAN64
EIMSK,Register,AT90CAN64
EIFR,Register,AT90CAN64
EEAR,Register,AT90CAN64
EEDR,Register,AT90CAN64
EECR,Register,AT90CAN64
TCCR0A,Register,AT90CAN64
TCNT0,Register,AT90CAN64
OCR0A,Register,AT90CAN64
TIMSK0,Register,AT90CAN64
TIFR0,Register,AT90CAN64
GTCCR,Register,AT90CAN64
TCCR1A,Register,AT90CAN64
TCCR1B,Register,AT90CAN64
TCCR1C,Register,AT90CAN64
TCNT1,Register,AT90CAN64
OCR1A,Register,AT90CAN64
OCR1B,Register,AT90CAN64
OCR1C,Register,AT90CAN64
ICR1,Register,AT90CAN64
TIMSK1,Register,AT90CAN64
TIFR1,Register,AT90CAN64
TCCR3A,Register,AT90CAN64
TCCR3B,Register,AT90CAN64
TCCR3C,Register,AT90CAN64
TCNT3,Register,AT90CAN64
OCR3A,Register,AT90CAN64
OCR3B,Register,AT90CAN64
OCR3C,Register,AT90CAN64
ICR3,Register,AT90CAN64
TIMSK3,Register,AT90CAN64
TIFR3,Register,AT90CAN64
TCCR2A,Register,AT90CAN64
TCNT2,Register,AT90CAN64
OCR2A,Register,AT90CAN64
TIMSK2,Register,AT90CAN64
TIFR2,Register,AT90CAN64
GTCCR,Register,AT90CAN64
ASSR,Register,AT90CAN64
WDTCR,Register,AT90CAN64
ADMUX,Register,AT90CAN64
ADCSRA,Register,AT90CAN64
ADC,Register,AT90CAN64
ADCSRB,Register,AT90CAN64
DIDR0,Register,AT90CAN64
ADCSRB,Register,AT90CAN64
ACSR,Register,AT90CAN64
CANGCON,Register,AT90CAN64
CANGSTA,Register,AT90CAN64
CANGIT,Register,AT90CAN64
CANGIE,Register,AT90CAN64
CANEN2,Register,AT90CAN64
CANEN1,Register,AT90CAN64
CANIE2,Register,AT90CAN64
CANIE1,Register,AT90CAN64
CANSIT2,Register,AT90CAN64
CANSIT1,Register,AT90CAN64
CANBT1,Register,AT90CAN64
CANBT2,Register,AT90CAN64
CANBT3,Register,AT90CAN64
CANTCON,Register,AT90CAN64
CANTIM,Register,AT90CAN64
CANTTC,Register,AT90CAN64
CANTEC,Register,AT90CAN64
CANREC,Register,AT90CAN64
CANHPMOB,Register,AT90CAN64
CANPAGE,Register,AT90CAN64
CANSTMOB,Register,AT90CAN64
CANCDMOB,Register,AT90CAN64
CANIDT4,Register,AT90CAN64
CANIDT3,Register,AT90CAN64
CANIDT2,Register,AT90CAN64
CANIDT1,Register,AT90CAN64
CANIDM4,Register,AT90CAN64
CANIDM3,Register,AT90CAN64
CANIDM2,Register,AT90CAN64
CANIDM1,Register,AT90CAN64
CANSTM,Register,AT90CAN64
CANMSG,Register,AT90CAN64
PORTB,Register,AT90PWM1
DDRB,Register,AT90PWM1
PINB,Register,AT90PWM1
